,1024,2048,4096,8192
Fish,,,,
GestureMidAirD2,,,,
MiddlePhalanxOutlineAgeGroup,,,,
Strawberry,,,,
Earthquakes,,,,
Car,,,,
RefrigerationDevices,,,,
ProximalPhalanxOutlineAgeGroup,,,,
FreezerRegularTrain,,,,
Rock,,,,
SmallKitchenAppliances,,,,
CricketX,,,,
NonInvasiveFetalECGThorax2,,,,
Mallat,,,,
GestureMidAirD3,,,,
MelbournePedestrian,,,,
MoteStrain,,,,
CBF,,,,
PickupGestureWiimoteZ,,,,
ShakeGestureWiimoteZ,,,,
GestureMidAirD1,,,,
DistalPhalanxOutlineCorrect,,,,
TwoPatterns,,,,
ShapesAll,,,,
ucr_info.csv,,,,
UWaveGestureLibraryX,,,,
InsectSound,0.56888,0.68752,0.722,0.754
ChlorineConcentration,,,,
GesturePebbleZ1,,,,
Beef,,,,
Computers,,,,
FaceAll,,,,
BirdChicken,,,,
FaceFour,,,,
UWaveGestureLibraryY,,,,
SemgHandGenderCh2,,,,
Wafer,,,,
MiddlePhalanxTW,,,,
Ham,,,,
ECG5000,,,,
ACSF1,,,,
InsectEPGSmallTrain,,,,
DodgerLoopDay,,,,
Wine,,,,
HandOutlines,,,,
Lightning2,,,,
AllGestureWiimoteY,,,,
MixedShapesRegularTrain,,,,
MiddlePhalanxOutlineCorrect,,,,
BeetleFly,,,,
FordA,0.8136363636363636,0.8295454545454546,0.921969696969697,0.9378787878787879
SemgHandMovementCh2,,,,
ToeSegmentation1,,,,
CricketY,,,,
SwedishLeaf,,,,
PigAirwayPressure,,,,
GunPoint,,,,
Trace,,,,
Coffee,,,,
AllGestureWiimoteX,,,,
ElectricDevices,0.48359486447931527,0.49695240565426013,0.5012320062248735,0.5476591881727403
Worms,,,,
ShapeletSim,,,,
GesturePebbleZ2,,,,
FordB,0.6345679012345679,0.6358024691358025,0.8098765432098766,0.8234567901234567
FruitFlies,0.9134364679297757,0.9416536299901501,0.9556752998435599,0.9586882206385074
Haptics,,,,
ArrowHead,,,,
SmoothSubspace,,,,
UWaveGestureLibraryZ,,,,
NonInvasiveFetalECGThorax1,,,,
PigArtPressure,,,,
WormsTwoClass,,,,
EOGVerticalSignal,,,,
EOGHorizontalSignal,,,,
DiatomSizeReduction,,,,
FreezerSmallTrain,,,,
GunPointAgeSpan,,,,
PigCVP,,,,
ItalyPowerDemand,,,,
Fungi,,,,
Symbols,,,,
GunPointMaleVersusFemale,,,,
MixedShapesSmallTrain,,,,
MedicalImages,,,,
Lightning7,,,,
SemgHandSubjectCh2,,,,
OSULeaf,,,,
CricketZ,,,,
ECGFiveDays,,,,
Phoneme,,,,
Plane,,,,
LargeKitchenAppliances,,,,
PhalangesOutlinesCorrect,,,,
SonyAIBORobotSurface1,,,,
Meat,,,,
Crop,0.2563095238095238,0.2654761904761905,0.27648809523809526,0.3517857142857143
DistalPhalanxOutlineAgeGroup,,,,
FiftyWords,,,,
BME,,,,
Chinatown,,,,
InsectEPGRegularTrain,,,,
ProximalPhalanxOutlineCorrect,,,,
ToeSegmentation2,,,,
DodgerLoopWeekend,,,,
FacesUCR,,,,
Adiac,,,,
AllGestureWiimoteZ,,,,
SyntheticControl,,,,
Yoga,,,,
PowerCons,,,,
DodgerLoopGame,,,,
ScreenType,,,,
UWaveGestureLibraryAll,,,,
ProximalPhalanxTW,,,,
DistalPhalanxTW,,,,
StarLightCurves,,,,
HouseTwenty,,,,
OliveOil,,,,
InsectWingbeatSound,,,,
UMD,,,,
Herring,,,,
PLAID,,,,
GunPointOldVersusYoung,,,,
SonyAIBORobotSurface2,,,,
EthanolLevel,,,,
ECG200,,,,
Missing_value_and_variable_length_datasets_adjusted,,,,
CinCECGTorso,,,,
WordSynonyms,,,,
InlineSkate,,,,
TwoLeadECG,,,,
