dataset, dim, speedUpDegree, technode, cellBit, Accuracy, ChipArea_um^2, Energy_Efficiency_TOPS/W, Throughput_TOPS, Throughput_FPS, Compute_Efficiency_TOPS/mm^2
InsectSound, 8192, 8, 22, 3, 70.75199890136719, 33345300.0, 5.86632, 0.185871, 1134470.0, 0.00557413
InsectSound, 8192, 8, 22, 1, 70.75199890136719, 20002400.0, 3.3413, 0.161256, 984228.0, 0.00806182
InsectSound, 8192, 8, 22, 3, 70.75199890136719, 33345300.0, 5.86632, 0.185871, 1134470.0, 0.00557413
InsectSound, 8192, 8, 22, 6, 70.75199890136719, 32741800.0, 6.13167, 0.18383, 1122010.0, 0.00561454
InsectSound, 8192, 8, 32, 3, 70.75199890136719, 74048100.0, 3.83552, 0.115826, 706949.0, 0.00156421
InsectSound, 8192, 8, 32, 1, 70.75199890136719, 44339700.0, 2.31638, 0.100488, 613327.0, 0.00226631
InsectSound, 8192, 8, 32, 3, 70.75199890136719, 74048100.0, 3.83552, 0.115826, 706949.0, 0.00156421
InsectSound, 8192, 8, 32, 6, 70.75199890136719, 72733300.0, 3.76998, 0.114555, 699187.0, 0.001575
InsectSound, 8192, 4, 22, 3, 70.75199890136719, 33345300.0, 5.86632, 0.185871, 1134470.0, 0.00557413
InsectSound, 8192, 4, 22, 1, 70.75199890136719, 20002400.0, 3.3413, 0.161256, 984228.0, 0.00806182
InsectSound, 8192, 4, 22, 3, 70.75199890136719, 33345300.0, 5.86632, 0.185871, 1134470.0, 0.00557413
InsectSound, 8192, 4, 22, 6, 70.75199890136719, 32741800.0, 6.13167, 0.18383, 1122010.0, 0.00561454
InsectSound, 8192, 4, 32, 3, 70.75199890136719, 74048100.0, 3.83552, 0.115826, 706949.0, 0.00156421
InsectSound, 8192, 4, 32, 1, 70.75199890136719, 44339700.0, 2.31638, 0.100488, 613327.0, 0.00226631
InsectSound, 8192, 4, 32, 3, 70.75199890136719, 74048100.0, 3.83552, 0.115826, 706949.0, 0.00156421
InsectSound, 8192, 4, 32, 6, 70.75199890136719, 72733300.0, 3.76998, 0.114555, 699187.0, 0.001575
InsectSound, 8192, 1, 22, 3, 70.75199890136719, 33345300.0, 5.86632, 0.185871, 1134470.0, 0.00557413
InsectSound, 8192, 1, 22, 1, 70.75199890136719, 20002400.0, 3.3413, 0.161256, 984228.0, 0.00806182
InsectSound, 8192, 1, 22, 3, 70.75199890136719, 33345300.0, 5.86632, 0.185871, 1134470.0, 0.00557413
InsectSound, 8192, 1, 22, 6, 70.75199890136719, 32741800.0, 6.13167, 0.18383, 1122010.0, 0.00561454
InsectSound, 8192, 1, 32, 3, 70.75199890136719, 74048100.0, 3.83552, 0.115826, 706949.0, 0.00156421
InsectSound, 8192, 1, 32, 1, 70.75199890136719, 44339700.0, 2.31638, 0.100488, 613327.0, 0.00226631
InsectSound, 8192, 1, 32, 3, 70.75199890136719, 74048100.0, 3.83552, 0.115826, 706949.0, 0.00156421
InsectSound, 8192, 1, 32, 6, 70.75199890136719, 72733300.0, 3.76998, 0.114555, 699187.0, 0.001575
